model_id,test_accuracy,loss_value
0,0.1066666692495346,2.298133134841919
1,0.09000000357627869,2.304711103439331
2,0.10000000149011612,2.301994562149048
3,0.10333333164453506,2.292844533920288
4,0.10333333164453506,2.2903435230255127
5,0.1666666716337204,2.278952121734619
6,0.1066666692495346,2.2953505516052246
7,0.09333333373069763,2.295149803161621
8,0.1366666704416275,2.294994592666626
9,0.10333333164453506,2.3065686225891113
10,0.10000000149011612,2.283806324005127
11,0.10333333164453506,2.3036949634552
12,0.07000000029802322,2.304699420928955
13,0.10333333164453506,2.264561414718628
14,0.09666666388511658,2.302873134613037
15,0.1133333370089531,2.289942979812622
16,0.14000000059604645,2.2939634323120117
17,0.12666666507720947,2.282902240753174
18,0.11666666716337204,2.275076150894165
19,0.10000000149011612,2.3009088039398193
20,0.09666666388511658,2.3043386936187744
21,0.10333333164453506,2.3021433353424072
22,0.11666666716337204,2.2999730110168457
23,0.10333333164453506,2.298600435256958
24,0.1066666692495346,2.301800012588501
25,0.12333333492279053,2.2836897373199463
26,0.1133333370089531,2.294429302215576
27,0.16333332657814026,2.2999427318573
28,0.10000000149011612,2.301117420196533
29,0.1366666704416275,2.299302339553833
30,0.10000000149011612,2.2992823123931885
31,0.23000000417232513,2.2388603687286377
32,0.09666666388511658,2.3014047145843506
33,0.10999999940395355,2.281383991241455
34,0.13333334028720856,2.2780492305755615
35,0.09666666388511658,2.295823097229004
36,0.12999999523162842,2.2839605808258057
37,0.18333333730697632,2.3004658222198486
38,0.10333333164453506,2.305185556411743
39,0.10333333164453506,2.2966809272766113
40,0.13333334028720856,2.301320791244507
41,0.1599999964237213,2.2542898654937744
42,0.12333333492279053,2.303766965866089
43,0.1433333307504654,2.291480302810669
44,0.09000000357627869,2.303236722946167
45,0.10000000149011612,2.297966957092285
46,0.10999999940395355,2.2993297576904297
47,0.10333333164453506,2.2983593940734863
48,0.08666666597127914,2.3005337715148926
49,0.09666666388511658,2.303950309753418
50,0.09666666388511658,2.299546241760254
51,0.09666666388511658,2.2973458766937256
52,0.17000000178813934,2.2894208431243896
53,0.10333333164453506,2.2829246520996094
54,0.1066666692495346,2.287473678588867
55,0.1133333370089531,2.295259475708008
56,0.11999999731779099,2.2982752323150635
57,0.10333333164453506,2.3000705242156982
58,0.15000000596046448,2.3017189502716064
59,0.07999999821186066,2.29471755027771
60,0.1133333370089531,2.2924835681915283
61,0.09000000357627869,2.292970657348633
62,0.1133333370089531,2.297668695449829
63,0.12999999523162842,2.2935268878936768
64,0.10333333164453506,2.3017618656158447
65,0.1133333370089531,2.283656120300293
66,0.13333334028720856,2.2802770137786865
67,0.15333333611488342,2.300224781036377
68,0.10333333164453506,2.2579309940338135
69,0.09666666388511658,2.297340154647827
70,0.14666666090488434,2.2998290061950684
71,0.10333333164453506,2.294527769088745
72,0.10333333164453506,2.303074836730957
73,0.09333333373069763,2.2985546588897705
74,0.1433333307504654,2.291877269744873
75,0.14666666090488434,2.288536548614502
76,0.12333333492279053,2.299591541290283
77,0.11666666716337204,2.293369770050049
78,0.10999999940395355,2.2994909286499023
79,0.11999999731779099,2.2991294860839844
80,0.10000000149011612,2.296612024307251
81,0.07666666805744171,2.2933952808380127
82,0.13333334028720856,2.2863283157348633
83,0.14666666090488434,2.289409875869751
84,0.12333333492279053,2.296236753463745
85,0.06666667014360428,2.2969586849212646
86,0.10333333164453506,2.296395778656006
87,0.11666666716337204,2.304349660873413
88,0.08666666597127914,2.2796027660369873
89,0.09666666388511658,2.2952775955200195
90,0.1599999964237213,2.287332534790039
91,0.10000000149011612,2.2960267066955566
92,0.1066666692495346,2.3030483722686768
93,0.12999999523162842,2.2903335094451904
94,0.12666666507720947,2.2878894805908203
95,0.1066666692495346,2.3024346828460693
96,0.12666666507720947,2.2901415824890137
97,0.14666666090488434,2.26942777633667
98,0.18666666746139526,2.2847812175750732
99,0.13333334028720856,2.2662513256073
